"Var1"	"Var2"	"Var3"	"Freq"
"269"	"24"	"nonMRW"	"ART"	44
"270"	"25"	"nonMRW"	"ART"	43
"271"	"26"	"nonMRW"	"ART"	44
"272"	"27"	"nonMRW"	"ART"	33
"273"	"28"	"nonMRW"	"ART"	28
"274"	"29"	"nonMRW"	"ART"	60
"275"	"30"	"nonMRW"	"ART"	58
"276"	"31"	"nonMRW"	"ART"	77
"277"	"32"	"nonMRW"	"ART"	58
"278"	"33"	"nonMRW"	"ART"	53
"279"	"34"	"nonMRW"	"ART"	60
"280"	"35"	"nonMRW"	"ART"	34
"281"	"1"	"MRW"	"KO"	0
"282"	"2"	"MRW"	"KO"	1
"283"	"3"	"MRW"	"KO"	0
"284"	"4"	"MRW"	"KO"	3
"285"	"5"	"MRW"	"KO"	3
"286"	"6"	"MRW"	"KO"	0
"287"	"7"	"MRW"	"KO"	0
"288"	"8"	"MRW"	"KO"	1
"289"	"9"	"MRW"	"KO"	0
"290"	"10"	"MRW"	"KO"	1
"291"	"11"	"MRW"	"KO"	0
"292"	"12"	"MRW"	"KO"	1
"293"	"13"	"MRW"	"KO"	0
"294"	"14"	"MRW"	"KO"	0
"295"	"15"	"MRW"	"KO"	0
"296"	"16"	"MRW"	"KO"	0
"297"	"17"	"MRW"	"KO"	2
"298"	"18"	"MRW"	"KO"	0
"299"	"19"	"MRW"	"KO"	0
"300"	"20"	"MRW"	"KO"	0
"301"	"21"	"MRW"	"KO"	0
"302"	"22"	"MRW"	"KO"	0
"303"	"23"	"MRW"	"KO"	0
"304"	"24"	"MRW"	"KO"	1
"305"	"25"	"MRW"	"KO"	0
"306"	"26"	"MRW"	"KO"	0
"307"	"27"	"MRW"	"KO"	1
"308"	"28"	"MRW"	"KO"	1
"309"	"29"	"MRW"	"KO"	0
"310"	"30"	"MRW"	"KO"	0
"311"	"31"	"MRW"	"KO"	0
"312"	"32"	"MRW"	"KO"	0
"313"	"33"	"MRW"	"KO"	0
"314"	"34"	"MRW"	"KO"	1
"315"	"35"	"MRW"	"KO"	0
"316"	"1"	"nonMRW"	"KO"	28
"317"	"2"	"nonMRW"	"KO"	28
"318"	"3"	"nonMRW"	"KO"	26
"319"	"4"	"nonMRW"	"KO"	50
"320"	"5"	"nonMRW"	"KO"	30
"321"	"6"	"nonMRW"	"KO"	43
"322"	"7"	"nonMRW"	"KO"	36
"323"	"8"	"nonMRW"	"KO"	31
"324"	"9"	"nonMRW"	"KO"	29
"325"	"10"	"nonMRW"	"KO"	53
"326"	"11"	"nonMRW"	"KO"	47
"327"	"12"	"nonMRW"	"KO"	27
"328"	"13"	"nonMRW"	"KO"	35
"329"	"14"	"nonMRW"	"KO"	29
"330"	"15"	"nonMRW"	"KO"	24
"331"	"16"	"nonMRW"	"KO"	51
"332"	"17"	"nonMRW"	"KO"	24
"333"	"18"	"nonMRW"	"KO"	35
"334"	"19"	"nonMRW"	"KO"	22
"335"	"20"	"nonMRW"	"KO"	18
"336"	"21"	"nonMRW"	"KO"	29
"337"	"22"	"nonMRW"	"KO"	34
"338"	"23"	"nonMRW"	"KO"	25
"339"	"24"	"nonMRW"	"KO"	28
"340"	"25"	"nonMRW"	"KO"	40
"341"	"26"	"nonMRW"	"KO"	37
"342"	"27"	"nonMRW"	"KO"	46
"343"	"28"	"nonMRW"	"KO"	23
"344"	"29"	"nonMRW"	"KO"	30
"345"	"30"	"nonMRW"	"KO"	39
"346"	"31"	"nonMRW"	"KO"	20
"347"	"32"	"nonMRW"	"KO"	29
"348"	"33"	"nonMRW"	"KO"	34
"349"	"34"	"nonMRW"	"KO"	32
"350"	"35"	"nonMRW"	"KO"	21
"351"	"1"	"MRW"	"N"	38
"352"	"2"	"MRW"	"N"	10
"353"	"3"	"MRW"	"N"	11
"354"	"4"	"MRW"	"N"	23
"355"	"5"	"MRW"	"N"	15
"356"	"6"	"MRW"	"N"	9
"357"	"7"	"MRW"	"N"	9
"358"	"8"	"MRW"	"N"	14
"359"	"9"	"MRW"	"N"	13
"360"	"10"	"MRW"	"N"	16
"361"	"11"	"MRW"	"N"	5
"362"	"12"	"MRW"	"N"	4
"363"	"13"	"MRW"	"N"	3
"364"	"14"	"MRW"	"N"	9
"365"	"15"	"MRW"	"N"	6
"366"	"16"	"MRW"	"N"	19
"367"	"17"	"MRW"	"N"	15
"368"	"18"	"MRW"	"N"	8
"369"	"19"	"MRW"	"N"	26
"370"	"20"	"MRW"	"N"	23
"371"	"21"	"MRW"	"N"	7
"372"	"22"	"MRW"	"N"	11
"373"	"23"	"MRW"	"N"	9
"374"	"24"	"MRW"	"N"	19
"375"	"25"	"MRW"	"N"	19
"376"	"26"	"MRW"	"N"	24
"377"	"27"	"MRW"	"N"	18
"378"	"28"	"MRW"	"N"	2
"379"	"29"	"MRW"	"N"	3
"380"	"30"	"MRW"	"N"	5
"381"	"31"	"MRW"	"N"	5
"382"	"32"	"MRW"	"N"	3
"383"	"33"	"MRW"	"N"	12
"384"	"34"	"MRW"	"N"	3
"385"	"35"	"MRW"	"N"	6
"386"	"1"	"nonMRW"	"N"	55
"387"	"2"	"nonMRW"	"N"	108
"388"	"3"	"nonMRW"	"N"	108
"389"	"4"	"nonMRW"	"N"	53
"390"	"5"	"nonMRW"	"N"	101
"391"	"6"	"nonMRW"	"N"	124
"392"	"7"	"nonMRW"	"N"	106
"393"	"8"	"nonMRW"	"N"	108
"394"	"9"	"nonMRW"	"N"	114
"395"	"10"	"nonMRW"	"N"	52
"396"	"11"	"nonMRW"	"N"	104
"397"	"12"	"nonMRW"	"N"	101
"398"	"13"	"nonMRW"	"N"	78
"399"	"14"	"nonMRW"	"N"	83
"400"	"15"	"nonMRW"	"N"	91
"401"	"16"	"nonMRW"	"N"	108
"402"	"17"	"nonMRW"	"N"	95
"403"	"18"	"nonMRW"	"N"	117
"404"	"19"	"nonMRW"	"N"	101
"405"	"20"	"nonMRW"	"N"	111
"406"	"21"	"nonMRW"	"N"	100
"407"	"22"	"nonMRW"	"N"	131
"408"	"23"	"nonMRW"	"N"	116
"409"	"24"	"nonMRW"	"N"	86
"410"	"25"	"nonMRW"	"N"	81
"411"	"26"	"nonMRW"	"N"	87
"412"	"27"	"nonMRW"	"N"	63
"413"	"28"	"nonMRW"	"N"	93
"414"	"29"	"nonMRW"	"N"	111
"415"	"30"	"nonMRW"	"N"	99
"416"	"31"	"nonMRW"	"N"	99
"417"	"32"	"nonMRW"	"N"	96
"418"	"33"	"nonMRW"	"N"	96
"419"	"34"	"nonMRW"	"N"	98
"420"	"35"	"nonMRW"	"N"	96
"421"	"1"	"MRW"	"P"	4
"422"	"2"	"MRW"	"P"	1
"423"	"3"	"MRW"	"P"	5
"424"	"4"	"MRW"	"P"	7
"425"	"5"	"MRW"	"P"	3
"426"	"6"	"MRW"	"P"	3
"427"	"7"	"MRW"	"P"	0
"428"	"8"	"MRW"	"P"	0
"429"	"9"	"MRW"	"P"	2
"430"	"10"	"MRW"	"P"	3
"431"	"11"	"MRW"	"P"	1
"432"	"12"	"MRW"	"P"	0
"433"	"13"	"MRW"	"P"	2
"434"	"14"	"MRW"	"P"	3
"435"	"15"	"MRW"	"P"	3
"436"	"16"	"MRW"	"P"	4
"437"	"17"	"MRW"	"P"	3
"438"	"18"	"MRW"	"P"	0
"439"	"19"	"MRW"	"P"	11
"440"	"20"	"MRW"	"P"	2
"441"	"21"	"MRW"	"P"	2
"442"	"22"	"MRW"	"P"	0
"443"	"23"	"MRW"	"P"	1
"444"	"24"	"MRW"	"P"	3
"445"	"25"	"MRW"	"P"	1
"446"	"26"	"MRW"	"P"	3
"447"	"27"	"MRW"	"P"	4
"448"	"28"	"MRW"	"P"	0
"449"	"29"	"MRW"	"P"	0
"450"	"30"	"MRW"	"P"	0
"451"	"31"	"MRW"	"P"	0
"452"	"32"	"MRW"	"P"	0
"453"	"33"	"MRW"	"P"	1
"454"	"34"	"MRW"	"P"	0
"455"	"35"	"MRW"	"P"	0
"456"	"1"	"nonMRW"	"P"	76
"457"	"2"	"nonMRW"	"P"	76
"458"	"3"	"nonMRW"	"P"	68
"459"	"4"	"nonMRW"	"P"	102
"460"	"5"	"nonMRW"	"P"	69
"461"	"6"	"nonMRW"	"P"	51
"462"	"7"	"nonMRW"	"P"	59
"463"	"8"	"nonMRW"	"P"	64
"464"	"9"	"nonMRW"	"P"	74
"465"	"10"	"nonMRW"	"P"	100
"466"	"11"	"nonMRW"	"P"	78
"467"	"12"	"nonMRW"	"P"	91
"468"	"13"	"nonMRW"	"P"	92
"469"	"14"	"nonMRW"	"P"	91
"470"	"15"	"nonMRW"	"P"	83
"471"	"16"	"nonMRW"	"P"	52
"472"	"17"	"nonMRW"	"P"	58
"473"	"18"	"nonMRW"	"P"	74
"474"	"19"	"nonMRW"	"P"	59
"475"	"20"	"nonMRW"	"P"	69
"476"	"21"	"nonMRW"	"P"	83
"477"	"22"	"nonMRW"	"P"	49
"478"	"23"	"nonMRW"	"P"	59
"479"	"24"	"nonMRW"	"P"	74
"480"	"25"	"nonMRW"	"P"	100
"481"	"26"	"nonMRW"	"P"	81
"482"	"27"	"nonMRW"	"P"	98
"483"	"28"	"nonMRW"	"P"	78
"484"	"29"	"nonMRW"	"P"	65
"485"	"30"	"nonMRW"	"P"	82
"486"	"31"	"nonMRW"	"P"	67
"487"	"32"	"nonMRW"	"P"	72
"488"	"33"	"nonMRW"	"P"	87
"489"	"34"	"nonMRW"	"P"	72
"490"	"35"	"nonMRW"	"P"	83
"491"	"1"	"MRW"	"Rest"	2
"492"	"2"	"MRW"	"Rest"	2
"493"	"3"	"MRW"	"Rest"	3
"494"	"4"	"MRW"	"Rest"	3
"495"	"5"	"MRW"	"Rest"	1
"496"	"6"	"MRW"	"Rest"	2
"497"	"7"	"MRW"	"Rest"	0
"498"	"8"	"MRW"	"Rest"	4
"499"	"9"	"MRW"	"Rest"	1
"500"	"10"	"MRW"	"Rest"	4
"501"	"11"	"MRW"	"Rest"	0
"502"	"12"	"MRW"	"Rest"	0
"503"	"13"	"MRW"	"Rest"	2
"504"	"14"	"MRW"	"Rest"	0
"505"	"15"	"MRW"	"Rest"	0
"506"	"16"	"MRW"	"Rest"	0
"507"	"17"	"MRW"	"Rest"	2
"508"	"18"	"MRW"	"Rest"	0
"509"	"19"	"MRW"	"Rest"	0
"510"	"20"	"MRW"	"Rest"	0
"511"	"21"	"MRW"	"Rest"	0
"512"	"22"	"MRW"	"Rest"	1
"513"	"23"	"MRW"	"Rest"	0
"514"	"24"	"MRW"	"Rest"	1
"515"	"25"	"MRW"	"Rest"	1
"516"	"26"	"MRW"	"Rest"	1
"517"	"27"	"MRW"	"Rest"	3
"518"	"28"	"MRW"	"Rest"	0
"519"	"29"	"MRW"	"Rest"	2
"520"	"30"	"MRW"	"Rest"	1
"521"	"31"	"MRW"	"Rest"	2
"522"	"32"	"MRW"	"Rest"	2
"523"	"33"	"MRW"	"Rest"	1
"524"	"34"	"MRW"	"Rest"	1
"525"	"35"	"MRW"	"Rest"	0
"526"	"1"	"nonMRW"	"Rest"	19
"527"	"2"	"nonMRW"	"Rest"	8
"528"	"3"	"nonMRW"	"Rest"	22
"529"	"4"	"nonMRW"	"Rest"	15
"530"	"5"	"nonMRW"	"Rest"	14
"531"	"6"	"nonMRW"	"Rest"	10
"532"	"7"	"nonMRW"	"Rest"	10
"533"	"8"	"nonMRW"	"Rest"	18
"534"	"9"	"nonMRW"	"Rest"	14
"535"	"10"	"nonMRW"	"Rest"	17
"536"	"11"	"nonMRW"	"Rest"	10
"537"	"12"	"nonMRW"	"Rest"	20
"538"	"13"	"nonMRW"	"Rest"	20
"539"	"14"	"nonMRW"	"Rest"	20
"540"	"15"	"nonMRW"	"Rest"	20
"541"	"16"	"nonMRW"	"Rest"	9
"542"	"17"	"nonMRW"	"Rest"	26
"543"	"18"	"nonMRW"	"Rest"	11
"544"	"19"	"nonMRW"	"Rest"	22
"545"	"20"	"nonMRW"	"Rest"	17
"546"	"21"	"nonMRW"	"Rest"	14
"547"	"22"	"nonMRW"	"Rest"	10
"548"	"23"	"nonMRW"	"Rest"	13
"549"	"24"	"nonMRW"	"Rest"	8
"550"	"25"	"nonMRW"	"Rest"	7
"551"	"26"	"nonMRW"	"Rest"	18
"552"	"27"	"nonMRW"	"Rest"	11
"553"	"28"	"nonMRW"	"Rest"	30
"554"	"29"	"nonMRW"	"Rest"	22
"555"	"30"	"nonMRW"	"Rest"	21
"556"	"31"	"nonMRW"	"Rest"	27
"557"	"32"	"nonMRW"	"Rest"	19
"558"	"33"	"nonMRW"	"Rest"	5
"559"	"34"	"nonMRW"	"Rest"	15
"560"	"35"	"nonMRW"	"Rest"	27
"561"	"1"	"MRW"	"V"	26
"562"	"2"	"MRW"	"V"	13
"563"	"3"	"MRW"	"V"	19
"564"	"4"	"MRW"	"V"	28
"565"	"5"	"MRW"	"V"	19
"566"	"6"	"MRW"	"V"	15
"567"	"7"	"MRW"	"V"	14
"568"	"8"	"MRW"	"V"	22
"569"	"9"	"MRW"	"V"	22
"570"	"10"	"MRW"	"V"	32
"571"	"11"	"MRW"	"V"	12
"572"	"12"	"MRW"	"V"	11
"573"	"13"	"MRW"	"V"	12
"574"	"14"	"MRW"	"V"	15
"575"	"15"	"MRW"	"V"	10
"576"	"16"	"MRW"	"V"	25
"577"	"17"	"MRW"	"V"	15
"578"	"18"	"MRW"	"V"	17
"579"	"19"	"MRW"	"V"	33
"580"	"20"	"MRW"	"V"	38
"581"	"21"	"MRW"	"V"	13
"582"	"22"	"MRW"	"V"	19
"583"	"23"	"MRW"	"V"	18
"584"	"24"	"MRW"	"V"	23
"585"	"25"	"MRW"	"V"	16
"586"	"26"	"MRW"	"V"	24
"587"	"27"	"MRW"	"V"	23
"588"	"28"	"MRW"	"V"	3
"589"	"29"	"MRW"	"V"	8
"590"	"30"	"MRW"	"V"	6
"591"	"31"	"MRW"	"V"	15
"592"	"32"	"MRW"	"V"	15
"593"	"33"	"MRW"	"V"	10
"594"	"34"	"MRW"	"V"	16
"595"	"35"	"MRW"	"V"	13
"596"	"1"	"nonMRW"	"V"	65
"597"	"2"	"nonMRW"	"V"	49
"598"	"3"	"nonMRW"	"V"	69
"599"	"4"	"nonMRW"	"V"	75
"600"	"5"	"nonMRW"	"V"	71
"601"	"6"	"nonMRW"	"V"	36
"602"	"7"	"nonMRW"	"V"	51
"603"	"8"	"nonMRW"	"V"	32
"604"	"9"	"nonMRW"	"V"	55
"605"	"10"	"nonMRW"	"V"	60
"606"	"11"	"nonMRW"	"V"	79
"607"	"12"	"nonMRW"	"V"	77
"608"	"13"	"nonMRW"	"V"	92
"609"	"14"	"nonMRW"	"V"	73
"610"	"15"	"nonMRW"	"V"	83
"611"	"16"	"nonMRW"	"V"	46
"612"	"17"	"nonMRW"	"V"	56
"613"	"18"	"nonMRW"	"V"	80
"614"	"19"	"nonMRW"	"V"	42
"615"	"20"	"nonMRW"	"V"	45
"616"	"21"	"nonMRW"	"V"	84
"617"	"22"	"nonMRW"	"V"	51
"618"	"23"	"nonMRW"	"V"	45
"619"	"24"	"nonMRW"	"V"	61
"620"	"25"	"nonMRW"	"V"	69
"621"	"26"	"nonMRW"	"V"	55
"622"	"27"	"nonMRW"	"V"	59
"623"	"28"	"nonMRW"	"V"	72
"624"	"29"	"nonMRW"	"V"	81
"625"	"30"	"nonMRW"	"V"	90
"626"	"31"	"nonMRW"	"V"	78
"627"	"32"	"nonMRW"	"V"	77
"628"	"33"	"nonMRW"	"V"	70
"629"	"34"	"nonMRW"	"V"	72
